2157 cubes in 22-cubes/15.cubes
  Depth 16 instance 1 was not split at previous depth; skipping
  Depth 16 instance 2 was not split at previous depth; skipping
  Depth 16 instance 3 was determined to be UNSAT; skipping
  Depth 16 instance 4 was determined to be UNSAT; skipping
  Depth 16 instance 5 was determined to be UNSAT; skipping
  Depth 16 instance 6 was determined to be UNSAT; skipping
  Depth 16 instance 7 was not split at previous depth; skipping
  Depth 16 instance 8 was determined to be UNSAT; skipping
  Depth 16 instance 9 was not split at previous depth; skipping
  Depth 16 instance 10 was determined to be UNSAT; skipping
  Depth 16 instance 11 was not split at previous depth; skipping
  Depth 16 instance 12 was not split at previous depth; skipping
  Depth 16 instance 13 was not split at previous depth; skipping
  Depth 16 instance 14 was not split at previous depth; skipping
  Depth 16 instance 15 was not split at previous depth; skipping
  Depth 16 instance 16 was not split at previous depth; skipping
  Depth 16 instance 17 was not split at previous depth; skipping
  Depth 16 instance 18 was not split at previous depth; skipping
  Depth 16 instance 19 was not split at previous depth; skipping
  Depth 16 instance 20 was not split at previous depth; skipping
  Depth 16 instance 21 was not split at previous depth; skipping
  Depth 16 instance 22 was not split at previous depth; skipping
  Depth 16 instance 23 was not split at previous depth; skipping
  Depth 16 instance 24 was not split at previous depth; skipping
  Depth 16 instance 25 was not split at previous depth; skipping
  Depth 16 instance 26 was determined to be UNSAT; skipping
  Depth 16 instance 27 was not split at previous depth; skipping
  Depth 16 instance 28 was not split at previous depth; skipping
  Depth 16 instance 31 was determined to be UNSAT; skipping
  Depth 16 instance 32 was not split at previous depth; skipping
  Depth 16 instance 33 was not split at previous depth; skipping
  Depth 16 instance 34 was not split at previous depth; skipping
  Depth 16 instance 35 was not split at previous depth; skipping
  Depth 16 instance 36 was determined to be UNSAT; skipping
  Depth 16 instance 37 was determined to be UNSAT; skipping
  Depth 16 instance 38 was determined to be UNSAT; skipping
  Depth 16 instance 39 was determined to be UNSAT; skipping
  Depth 16 instance 40 was not split at previous depth; skipping
  Depth 16 instance 41 was determined to be UNSAT; skipping
  Depth 16 instance 42 was determined to be UNSAT; skipping
  Depth 16 instance 43 was determined to be UNSAT; skipping
  Depth 16 instance 44 was not split at previous depth; skipping
  Depth 16 instance 45 was determined to be UNSAT; skipping
  Depth 16 instance 46 was not split at previous depth; skipping
  Depth 16 instance 47 was determined to be UNSAT; skipping
  Depth 16 instance 48 was not split at previous depth; skipping
  Depth 16 instance 49 was not split at previous depth; skipping
  Depth 16 instance 50 was not split at previous depth; skipping
  Depth 16 instance 51 was not split at previous depth; skipping
  Depth 16 instance 52 was not split at previous depth; skipping
  Depth 16 instance 53 was not split at previous depth; skipping
  Depth 16 instance 54 was not split at previous depth; skipping
  Depth 16 instance 55 was not split at previous depth; skipping
  Depth 16 instance 56 was not split at previous depth; skipping
  Depth 16 instance 57 was not split at previous depth; skipping
  Depth 16 instance 58 was not split at previous depth; skipping
  Depth 16 instance 59 was not split at previous depth; skipping
  Depth 16 instance 60 was not split at previous depth; skipping
  Depth 16 instance 61 was not split at previous depth; skipping
  Depth 16 instance 62 was not split at previous depth; skipping
  Depth 16 instance 63 was not split at previous depth; skipping
  Depth 16 instance 64 was not split at previous depth; skipping
  Depth 16 instance 65 was not split at previous depth; skipping
  Depth 16 instance 66 was not split at previous depth; skipping
  Depth 16 instance 67 was not split at previous depth; skipping
  Depth 16 instance 68 was not split at previous depth; skipping
  Depth 16 instance 69 was not split at previous depth; skipping
  Depth 16 instance 70 was not split at previous depth; skipping
  Depth 16 instance 71 was not split at previous depth; skipping
  Depth 16 instance 72 was not split at previous depth; skipping
  Depth 16 instance 73 was not split at previous depth; skipping
  Depth 16 instance 74 was not split at previous depth; skipping
  Depth 16 instance 75 was not split at previous depth; skipping
  Depth 16 instance 76 was not split at previous depth; skipping
  Depth 16 instance 77 was not split at previous depth; skipping
  Depth 16 instance 78 was not split at previous depth; skipping
  Depth 16 instance 79 was not split at previous depth; skipping
  Depth 16 instance 80 was not split at previous depth; skipping
  Depth 16 instance 81 was determined to be UNSAT; skipping
  Depth 16 instance 82 was not split at previous depth; skipping
  Depth 16 instance 83 was not split at previous depth; skipping
  Depth 16 instance 84 was not split at previous depth; skipping
  Depth 16 instance 85 was not split at previous depth; skipping
  Depth 16 instance 86 was not split at previous depth; skipping
  Depth 16 instance 87 was not split at previous depth; skipping
  Depth 16 instance 88 was not split at previous depth; skipping
  Depth 16 instance 89 was not split at previous depth; skipping
  Depth 16 instance 90 was not split at previous depth; skipping
  Depth 16 instance 91 was not split at previous depth; skipping
  Depth 16 instance 92 was not split at previous depth; skipping
  Depth 16 instance 93 was not split at previous depth; skipping
  Depth 16 instance 94 was not split at previous depth; skipping
  Depth 16 instance 97 was not split at previous depth; skipping
  Depth 16 instance 98 was not split at previous depth; skipping
  Depth 16 instance 99 was determined to be UNSAT; skipping
  Depth 16 instance 100 was not split at previous depth; skipping
  Depth 16 instance 101 was not split at previous depth; skipping
  Depth 16 instance 102 was not split at previous depth; skipping
  Depth 16 instance 103 was not split at previous depth; skipping
  Depth 16 instance 108 was determined to be UNSAT; skipping
  Depth 16 instance 109 was determined to be UNSAT; skipping
  Depth 16 instance 110 was determined to be UNSAT; skipping
  Depth 16 instance 111 was determined to be UNSAT; skipping
  Depth 16 instance 112 was determined to be UNSAT; skipping
  Depth 16 instance 113 was not split at previous depth; skipping
  Depth 16 instance 114 was not split at previous depth; skipping
  Depth 16 instance 115 was not split at previous depth; skipping
  Depth 16 instance 116 was not split at previous depth; skipping
  Depth 16 instance 117 was not split at previous depth; skipping
  Depth 16 instance 118 was not split at previous depth; skipping
  Depth 16 instance 119 was not split at previous depth; skipping
  Depth 16 instance 120 was not split at previous depth; skipping
  Depth 16 instance 121 was not split at previous depth; skipping
  Depth 16 instance 122 was not split at previous depth; skipping
  Depth 16 instance 123 was not split at previous depth; skipping
  Depth 16 instance 124 was not split at previous depth; skipping
  Depth 16 instance 125 was not split at previous depth; skipping
  Depth 16 instance 126 was not split at previous depth; skipping
  Depth 16 instance 127 was not split at previous depth; skipping
  Depth 16 instance 128 was not split at previous depth; skipping
  Depth 16 instance 129 was not split at previous depth; skipping
  Depth 16 instance 130 was not split at previous depth; skipping
  Depth 16 instance 131 was not split at previous depth; skipping
  Depth 16 instance 134 was not split at previous depth; skipping
  Depth 16 instance 135 was not split at previous depth; skipping
  Depth 16 instance 136 was not split at previous depth; skipping
  Depth 16 instance 137 was not split at previous depth; skipping
  Depth 16 instance 138 was not split at previous depth; skipping
  Depth 16 instance 139 was not split at previous depth; skipping
  Depth 16 instance 140 was not split at previous depth; skipping
  Depth 16 instance 141 was not split at previous depth; skipping
  Depth 16 instance 142 was not split at previous depth; skipping
  Depth 16 instance 143 was not split at previous depth; skipping
  Depth 16 instance 144 was not split at previous depth; skipping
  Depth 16 instance 145 was not split at previous depth; skipping
  Depth 16 instance 146 was determined to be UNSAT; skipping
  Depth 16 instance 147 was determined to be UNSAT; skipping
  Depth 16 instance 148 was not split at previous depth; skipping
  Depth 16 instance 149 was not split at previous depth; skipping
  Depth 16 instance 150 was not split at previous depth; skipping
  Depth 16 instance 151 was not split at previous depth; skipping
  Depth 16 instance 152 was not split at previous depth; skipping
  Depth 16 instance 153 was not split at previous depth; skipping
  Depth 16 instance 154 was not split at previous depth; skipping
  Depth 16 instance 155 was not split at previous depth; skipping
  Depth 16 instance 156 was not split at previous depth; skipping
  Depth 16 instance 157 was not split at previous depth; skipping
  Depth 16 instance 158 was not split at previous depth; skipping
  Depth 16 instance 159 was not split at previous depth; skipping
  Depth 16 instance 160 was not split at previous depth; skipping
  Depth 16 instance 161 was not split at previous depth; skipping
  Depth 16 instance 162 was not split at previous depth; skipping
  Depth 16 instance 165 was not split at previous depth; skipping
  Depth 16 instance 166 was not split at previous depth; skipping
  Depth 16 instance 167 was not split at previous depth; skipping
  Depth 16 instance 170 was not split at previous depth; skipping
  Depth 16 instance 171 was not split at previous depth; skipping
  Depth 16 instance 174 was not split at previous depth; skipping
  Depth 16 instance 175 was not split at previous depth; skipping
  Depth 16 instance 180 was determined to be UNSAT; skipping
  Depth 16 instance 181 was determined to be UNSAT; skipping
  Depth 16 instance 182 was not split at previous depth; skipping
  Depth 16 instance 183 was not split at previous depth; skipping
  Depth 16 instance 184 was not split at previous depth; skipping
  Depth 16 instance 185 was not split at previous depth; skipping
  Depth 16 instance 186 was not split at previous depth; skipping
  Depth 16 instance 187 was not split at previous depth; skipping
  Depth 16 instance 188 was not split at previous depth; skipping
  Depth 16 instance 189 was not split at previous depth; skipping
  Depth 16 instance 190 was not split at previous depth; skipping
  Depth 16 instance 191 was determined to be UNSAT; skipping
  Depth 16 instance 192 was not split at previous depth; skipping
  Depth 16 instance 193 was not split at previous depth; skipping
  Depth 16 instance 194 was not split at previous depth; skipping
  Depth 16 instance 195 was not split at previous depth; skipping
  Depth 16 instance 196 was not split at previous depth; skipping
  Depth 16 instance 199 was determined to be UNSAT; skipping
  Depth 16 instance 200 was not split at previous depth; skipping
  Depth 16 instance 201 was determined to be UNSAT; skipping
  Depth 16 instance 202 was not split at previous depth; skipping
  Depth 16 instance 203 was not split at previous depth; skipping
  Depth 16 instance 204 was not split at previous depth; skipping
  Depth 16 instance 205 was not split at previous depth; skipping
  Depth 16 instance 206 was determined to be UNSAT; skipping
  Depth 16 instance 207 was not split at previous depth; skipping
  Depth 16 instance 208 was determined to be UNSAT; skipping
  Depth 16 instance 209 was not split at previous depth; skipping
  Depth 16 instance 210 was not split at previous depth; skipping
  Depth 16 instance 211 was determined to be UNSAT; skipping
  Depth 16 instance 212 was not split at previous depth; skipping
  Depth 16 instance 213 was not split at previous depth; skipping
  Depth 16 instance 214 was determined to be UNSAT; skipping
  Depth 16 instance 215 was not split at previous depth; skipping
  Depth 16 instance 216 was determined to be UNSAT; skipping
  Depth 16 instance 217 was not split at previous depth; skipping
  Depth 16 instance 218 was not split at previous depth; skipping
  Depth 16 instance 219 was determined to be UNSAT; skipping
  Depth 16 instance 220 was determined to be UNSAT; skipping
  Depth 16 instance 221 was determined to be UNSAT; skipping
  Depth 16 instance 222 was not split at previous depth; skipping
  Depth 16 instance 225 was determined to be UNSAT; skipping
  Depth 16 instance 226 was not split at previous depth; skipping
  Depth 16 instance 227 was not split at previous depth; skipping
  Depth 16 instance 228 was not split at previous depth; skipping
  Depth 16 instance 231 was not split at previous depth; skipping
  Depth 16 instance 232 was determined to be UNSAT; skipping
  Depth 16 instance 233 was not split at previous depth; skipping
  Depth 16 instance 234 was determined to be UNSAT; skipping
  Depth 16 instance 235 was determined to be UNSAT; skipping
  Depth 16 instance 236 was not split at previous depth; skipping
  Depth 16 instance 237 was not split at previous depth; skipping
  Depth 16 instance 238 was determined to be UNSAT; skipping
  Depth 16 instance 239 was not split at previous depth; skipping
  Depth 16 instance 240 was not split at previous depth; skipping
  Depth 16 instance 241 was not split at previous depth; skipping
  Depth 16 instance 244 was not split at previous depth; skipping
  Depth 16 instance 245 was not split at previous depth; skipping
  Depth 16 instance 246 was not split at previous depth; skipping
  Depth 16 instance 247 was not split at previous depth; skipping
  Depth 16 instance 248 was not split at previous depth; skipping
  Depth 16 instance 249 was not split at previous depth; skipping
  Depth 16 instance 250 was not split at previous depth; skipping
  Depth 16 instance 253 was not split at previous depth; skipping
  Depth 16 instance 254 was not split at previous depth; skipping
  Depth 16 instance 255 was not split at previous depth; skipping
  Depth 16 instance 262 was determined to be UNSAT; skipping
  Depth 16 instance 263 was not split at previous depth; skipping
  Depth 16 instance 264 was not split at previous depth; skipping
  Depth 16 instance 265 was not split at previous depth; skipping
  Depth 16 instance 266 was not split at previous depth; skipping
  Depth 16 instance 267 was not split at previous depth; skipping
  Depth 16 instance 268 was determined to be UNSAT; skipping
  Depth 16 instance 269 was determined to be UNSAT; skipping
  Depth 16 instance 270 was not split at previous depth; skipping
  Depth 16 instance 271 was not split at previous depth; skipping
  Depth 16 instance 272 was determined to be UNSAT; skipping
  Depth 16 instance 273 was not split at previous depth; skipping
  Depth 16 instance 274 was not split at previous depth; skipping
  Depth 16 instance 275 was not split at previous depth; skipping
  Depth 16 instance 276 was not split at previous depth; skipping
  Depth 16 instance 277 was not split at previous depth; skipping
  Depth 16 instance 278 was determined to be UNSAT; skipping
  Depth 16 instance 279 was not split at previous depth; skipping
  Depth 16 instance 280 was determined to be UNSAT; skipping
  Depth 16 instance 281 was not split at previous depth; skipping
  Depth 16 instance 282 was not split at previous depth; skipping
  Depth 16 instance 283 was not split at previous depth; skipping
  Depth 16 instance 284 was not split at previous depth; skipping
  Depth 16 instance 285 was not split at previous depth; skipping
  Depth 16 instance 286 was not split at previous depth; skipping
  Depth 16 instance 287 was not split at previous depth; skipping
  Depth 16 instance 288 was not split at previous depth; skipping
  Depth 16 instance 289 was not split at previous depth; skipping
  Depth 16 instance 290 was determined to be UNSAT; skipping
  Depth 16 instance 291 was determined to be UNSAT; skipping
  Depth 16 instance 298 was determined to be UNSAT; skipping
  Depth 16 instance 299 was not split at previous depth; skipping
  Depth 16 instance 300 was not split at previous depth; skipping
  Depth 16 instance 301 was not split at previous depth; skipping
  Depth 16 instance 302 was not split at previous depth; skipping
  Depth 16 instance 303 was not split at previous depth; skipping
  Depth 16 instance 304 was not split at previous depth; skipping
  Depth 16 instance 305 was not split at previous depth; skipping
  Depth 16 instance 308 was not split at previous depth; skipping
  Depth 16 instance 309 was not split at previous depth; skipping
  Depth 16 instance 310 was determined to be UNSAT; skipping
  Depth 16 instance 315 was not split at previous depth; skipping
  Depth 16 instance 316 was not split at previous depth; skipping
  Depth 16 instance 317 was not split at previous depth; skipping
  Depth 16 instance 318 was not split at previous depth; skipping
  Depth 16 instance 319 was not split at previous depth; skipping
  Depth 16 instance 324 was not split at previous depth; skipping
  Depth 16 instance 325 was not split at previous depth; skipping
  Depth 16 instance 328 was not split at previous depth; skipping
  Depth 16 instance 333 was not split at previous depth; skipping
  Depth 16 instance 334 was not split at previous depth; skipping
  Depth 16 instance 339 was determined to be UNSAT; skipping
  Depth 16 instance 346 was determined to be UNSAT; skipping
  Depth 16 instance 347 was not split at previous depth; skipping
  Depth 16 instance 348 was not split at previous depth; skipping
  Depth 16 instance 349 was determined to be UNSAT; skipping
  Depth 16 instance 350 was not split at previous depth; skipping
  Depth 16 instance 351 was not split at previous depth; skipping
  Depth 16 instance 352 was determined to be UNSAT; skipping
  Depth 16 instance 353 was not split at previous depth; skipping
  Depth 16 instance 354 was determined to be UNSAT; skipping
  Depth 16 instance 355 was not split at previous depth; skipping
  Depth 16 instance 356 was not split at previous depth; skipping
  Depth 16 instance 357 was determined to be UNSAT; skipping
  Depth 16 instance 360 was determined to be UNSAT; skipping
  Depth 16 instance 361 was determined to be UNSAT; skipping
  Depth 16 instance 362 was determined to be UNSAT; skipping
  Depth 16 instance 369 was not split at previous depth; skipping
  Depth 16 instance 370 was determined to be UNSAT; skipping
  Depth 16 instance 371 was not split at previous depth; skipping
  Depth 16 instance 372 was not split at previous depth; skipping
  Depth 16 instance 375 was not split at previous depth; skipping
  Depth 16 instance 376 was not split at previous depth; skipping
  Depth 16 instance 377 was not split at previous depth; skipping
  Depth 16 instance 378 was not split at previous depth; skipping
  Depth 16 instance 379 was not split at previous depth; skipping
  Depth 16 instance 380 was not split at previous depth; skipping
  Depth 16 instance 381 was determined to be UNSAT; skipping
  Depth 16 instance 382 was not split at previous depth; skipping
  Depth 16 instance 383 was determined to be UNSAT; skipping
  Depth 16 instance 386 was determined to be UNSAT; skipping
  Depth 16 instance 387 was not split at previous depth; skipping
  Depth 16 instance 388 was determined to be UNSAT; skipping
  Depth 16 instance 391 was determined to be UNSAT; skipping
  Depth 16 instance 392 was not split at previous depth; skipping
  Depth 16 instance 393 was not split at previous depth; skipping
  Depth 16 instance 394 was not split at previous depth; skipping
  Depth 16 instance 395 was not split at previous depth; skipping
  Depth 16 instance 396 was not split at previous depth; skipping
  Depth 16 instance 397 was not split at previous depth; skipping
  Depth 16 instance 400 was determined to be UNSAT; skipping
  Depth 16 instance 403 was not split at previous depth; skipping
  Depth 16 instance 406 was not split at previous depth; skipping
  Depth 16 instance 407 was not split at previous depth; skipping
  Depth 16 instance 412 was determined to be UNSAT; skipping
  Depth 16 instance 413 was determined to be UNSAT; skipping
  Depth 16 instance 414 was not split at previous depth; skipping
  Depth 16 instance 415 was not split at previous depth; skipping
  Depth 16 instance 416 was not split at previous depth; skipping
  Depth 16 instance 417 was not split at previous depth; skipping
  Depth 16 instance 418 was not split at previous depth; skipping
  Depth 16 instance 419 was not split at previous depth; skipping
  Depth 16 instance 420 was not split at previous depth; skipping
  Depth 16 instance 421 was not split at previous depth; skipping
  Depth 16 instance 422 was not split at previous depth; skipping
  Depth 16 instance 423 was not split at previous depth; skipping
  Depth 16 instance 424 was not split at previous depth; skipping
  Depth 16 instance 425 was determined to be UNSAT; skipping
  Depth 16 instance 426 was not split at previous depth; skipping
  Depth 16 instance 427 was not split at previous depth; skipping
  Depth 16 instance 428 was not split at previous depth; skipping
  Depth 16 instance 429 was not split at previous depth; skipping
  Depth 16 instance 430 was not split at previous depth; skipping
  Depth 16 instance 431 was not split at previous depth; skipping
  Depth 16 instance 432 was not split at previous depth; skipping
  Depth 16 instance 433 was not split at previous depth; skipping
  Depth 16 instance 434 was not split at previous depth; skipping
  Depth 16 instance 435 was not split at previous depth; skipping
  Depth 16 instance 438 was not split at previous depth; skipping
  Depth 16 instance 439 was not split at previous depth; skipping
  Depth 16 instance 440 was determined to be UNSAT; skipping
  Depth 16 instance 441 was not split at previous depth; skipping
  Depth 16 instance 442 was not split at previous depth; skipping
  Depth 16 instance 445 was not split at previous depth; skipping
  Depth 16 instance 446 was not split at previous depth; skipping
  Depth 16 instance 447 was determined to be UNSAT; skipping
  Depth 16 instance 448 was not split at previous depth; skipping
  Depth 16 instance 451 was not split at previous depth; skipping
  Depth 16 instance 452 was not split at previous depth; skipping
  Depth 16 instance 455 was determined to be UNSAT; skipping
  Depth 16 instance 460 was not split at previous depth; skipping
  Depth 16 instance 461 was not split at previous depth; skipping
  Depth 16 instance 462 was not split at previous depth; skipping
