============================[ Problem Statistics ]=============================
|                                                                             |
|  Number of variables:          6160                                         |
|  Number of clauses:          422949                                         |
|  Parse time:                   2.48 s                                       |
|  Simplification time:          0.05 s                                       |
|                                                                             |
============================[ Search Statistics ]====================================================
| Conflicts |          ORIGINAL         |          LEARNT          | Num Sols |      SUBGRAPHS      |
|           |    Vars  Clauses Literals |    Limit  Clauses Lit/Cl |          | Canonical Noncanon. |
=====================================================================================================
|       100 |    4380   422949 41669492 |     2000      100     97 |        0 |        22         0 |
|       251 |    4380   422950 41669538 |     2000      251     97 |        0 |        33         1 |
|       487 |    4380   422961 41669954 |     2000      487    110 |        0 |        40        12 |
|       975 |    4380   423112 41674032 |     2000      975     98 |        0 |        91       163 |
|      1535 |    4380   423166 41675164 |     2000     1535     95 |        0 |       119       217 |
|      2365 |    4380   423237 41677423 |     3600     1365     64 |        0 |       154       288 |
|      3575 |    4380   423308 41679346 |     3600     2575     79 |        0 |       170       359 |
|      5484 |    4380   423509 41685469 |     4999     2683     59 |        0 |       210       560 |
|      8099 |    4380   423562 41687011 |     6304     2803     42 |        0 |       243       613 |
|     12027 |    4380   423646 41689436 |     7556     3583     40 |        0 |       320       697 |
|     18154 |    4380   424007 41697484 |     8778     5932     67 |        0 |       396      1058 |
|     27013 |    4380   424217 41701978 |    11204     5417     44 |        0 |       465      1268 |
|     40077 |    4380   424307 41704140 |    13611     6688     48 |        0 |       505      1358 |
|     60005 |    4380   424774 41713171 |    16011    12416     74 |        0 |       673      1825 |
|     90263 |    4380   425840 41735772 |    19612    16875     74 |        0 |       917      2891 |
|    137189 |    4380   428977 41805598 |    24407    20996     73 |        0 |      2319      6028 |
|    203355 |    4380   429459 41817440 |    30420    20175     57 |        0 |      2717      6510 |
|    302246 |    4380   429824 41827609 |    37613    18859     40 |        0 |      2994      6875 |
|    450578 |    4380   430367 41844308 |    46019    22997     46 |        0 |      3185      7418 |
|    672632 |    4380   430738 41855792 |    55620    44252     85 |        0 |      3438      7789 |
|   1006594 |    4380   432175 41896572 |    68825    39419     68 |        0 |      4821      9226 |
|   1507885 |    4380   434678 41970102 |    84413    46698     62 |        0 |      6281     11729 |
|   2260680 |    4380   439291 42093513 |   103617    52297     53 |        0 |      9084     16342 |
|   3386771 |    4380   443108 42201700 |   126432    91603     79 |        0 |     11573     20159 |
|   5092679 |    4380   465605 42794546 |   155222   115101     82 |        4 |     20479     42652 |
|   7695966 |    4380   543776 44665220 |   191223   129389     72 |        6 |     43106    120821 |
|  11501142 |    4380   561277 45128932 |   233226   231568     88 |        8 |     52059    138320 |
|  17405247 |    4380   783870 50775656 |   288415   151062     44 |        8 |     85455    360913 |
|  26958532 |    4380  1814886 69565354 |   358018   348950     77 |        8 |    211751   1391929 |
|  40424456 |    4380  2497407 84904404 |   439625   276081     52 |       11 |    293307   2074447 |
