============================[ Problem Statistics ]=============================
|                                                                             |
|  Number of variables:          6160                                         |
|  Number of clauses:          680333                                         |
|  Parse time:                   4.08 s                                       |
|  Simplification time:          0.08 s                                       |
|                                                                             |
============================[ Search Statistics ]====================================================
| Conflicts |          ORIGINAL         |          LEARNT          | Num Sols |      SUBGRAPHS      |
|           |    Vars  Clauses Literals |    Limit  Clauses Lit/Cl |          | Canonical Noncanon. |
=====================================================================================================
|       103 |    4351   680336 64590866 |     2000      103     69 |        0 |        23         3 |
|       292 |    4351   680375 64592320 |     2000      292     75 |        0 |        35        42 |
|       663 |    4351   680521 64595895 |     2000      663     69 |        0 |        72       188 |
|      1010 |    4351   680531 64596073 |     2000     1010     77 |        0 |        90       198 |
|      1746 |    4351   680761 64600567 |     2000     1746     75 |        0 |       221       428 |
|      2665 |    4351   680921 64604135 |     3601     1666     53 |        0 |       293       588 |
|      3840 |    4351   680957 64605297 |     3601     2841     73 |        0 |       324       624 |
|      5576 |    4351   680985 64606199 |     5005     2781     54 |        0 |       358       652 |
|      9233 |    4351   682080 64628293 |     6303     3936     45 |        0 |       455      1747 |
|     13330 |    4351   682333 64634046 |     7557     4887     49 |        0 |       654      2000 |
|     19294 |    4351   682531 64639380 |     8782     7076     62 |        0 |       717      2198 |
|     28224 |    4351   682812 64647017 |    11199     6623     39 |        0 |       897      2479 |
|     41378 |    4351   682992 64652823 |    13602     7980     48 |        0 |      1035      2659 |
|     62029 |    4351   684182 64678528 |    16006    14435     72 |        0 |      1283      3849 |
|     93296 |    4351   686257 64723909 |    20808    10104     27 |        0 |      1759      5924 |
|    139028 |    4351   688200 64770121 |    24409    22837     78 |        0 |      2481      7867 |
|    205342 |    4351   688830 64787812 |    30413    22155     65 |        0 |      3225      8497 |
|    306180 |    4351   691142 64841251 |    37616    22796     58 |        0 |      4837     10809 |
|    459060 |    4351   696233 64974569 |    46014    31474     65 |        0 |      7227     15900 |
|    687189 |    4351   702679 65149134 |    56819    31008     49 |        0 |      9585     22346 |
|   1031369 |    4351   714334 65426200 |    68813    64182     87 |        0 |     13007     34001 |
|   1540535 |    4351   724712 65657236 |    84419    79354     81 |        0 |     16916     44379 |
|   2298195 |    4351   734190 65879565 |   103618    89813     81 |        1 |     20666     53856 |
|   3431193 |    4351   744914 66132738 |   127626    72819     51 |        1 |     25430     64580 |
|   5119968 |    4351   750278 66288099 |   155217   142385     76 |        1 |     29991     69944 |
|   7654392 |    4351   759586 66570984 |   190021   182813     77 |        2 |     36876     79251 |
|  11459800 |    4351   777319 67101120 |   233227   190227     68 |        2 |     48818     96984 |
|  17246502 |    4351   882509 69637809 |   286027   278929     82 |        5 |     74164    202171 |
|  25818722 |    4351   932460 70882564 |   350814   270536     60 |        6 |     94656    252121 |
|  38743207 |    4351  1073542 74430971 |   430035   331642     69 |        8 |    158479    393201 |
|  58058975 |    4351  1214205 77920474 |   527225   288400     39 |       33 |    227226    533839 |
