============================[ Problem Statistics ]=============================
|                                                                             |
|  Number of variables:          6160                                         |
|  Number of clauses:          604981                                         |
|  Parse time:                   4.16 s                                       |
|  Simplification time:          0.10 s                                       |
|                                                                             |
============================[ Search Statistics ]====================================================
| Conflicts |          ORIGINAL         |          LEARNT          | Num Sols |      SUBGRAPHS      |
|           |    Vars  Clauses Literals |    Limit  Clauses Lit/Cl |          | Canonical Noncanon. |
=====================================================================================================
|       100 |    4401   604981 62246138 |     2000      100    108 |        0 |        21         0 |
|       250 |    4401   604981 62246138 |     2000      250     83 |        0 |        37         0 |
|       520 |    4401   605026 62247193 |     2000      520     81 |        0 |        59        45 |
|       901 |    4401   605070 62247899 |     2000      901     96 |        0 |        67        89 |
|      4196 |    4401   607859 62319606 |     3601     3197     24 |        0 |       653      2878 |
|      9441 |    4401   612345 62424352 |     6303     4144     25 |        0 |      1465      7364 |
|     10642 |    4401   612407 62425930 |     6303     5345     40 |        0 |      1547      7426 |
|     12401 |    4401   612458 62427928 |     7553     3954     40 |        0 |      1611      7477 |
|     15037 |    4401   612532 62430177 |     7553     6590     70 |        0 |      1681      7551 |
|     18985 |    4401   612636 62433591 |     8777     6762     72 |        0 |      1729      7655 |
|     24888 |    4401   612773 62437761 |     9992     8280     73 |        0 |      1795      7792 |
|     34003 |    4401   613239 62449866 |    12402     6805     37 |        0 |      1966      8258 |
|     47233 |    4401   613495 62456134 |    14812     7045     30 |        0 |      2086      8514 |
|     69420 |    4401   616221 62519719 |    17217    13837     47 |        0 |      2738     11240 |
|     98910 |    4401   616519 62527166 |    20822    15732     63 |        0 |      2926     11538 |
|    147491 |    4401   621311 62643952 |    25604    19095     61 |        0 |      4192     16330 |
|    214100 |    4401   622236 62658159 |    31614    15714     37 |        0 |      4346     17255 |
|    313980 |    4401   623590 62683516 |    37624    30604     75 |        0 |      4727     18609 |
|    462284 |    4401   624105 62698090 |    46017    34701     71 |        0 |      4950     19124 |
|    684919 |    4401   625057 62723680 |    56816    28735     48 |        0 |      5214     20076 |
|   1018917 |    4401   626530 62763125 |    68819    51736     77 |        0 |      5802     21549 |
|   1520392 |    4401   629217 62838198 |    84418    59210     73 |        0 |      6945     24236 |
|   2271333 |    4401   631976 62926842 |   103624    62957     68 |        0 |      8177     26995 |
|   3520465 |    4401   758834 65291427 |   128827    98292     70 |        0 |     18669    153853 |
|   5643329 |    4401  1198287 73274705 |   163624   109953     60 |        0 |     49885    593306 |
|   8233783 |    4401  1263625 74831554 |   197231   183214     79 |        0 |     64697    658644 |
|  12501844 |    4401  1744011 85243248 |   244044   161288     54 |        0 |    111170   1139030 |
|  19456386 |    4401  3017041 110134314 |   304023   280809     37 |        0 |    200332   2412060 |
|  29334564 |    4401  4372950 135189764 |   373646   351210     68 |        0 |    299741   3767969 |
|  45905787 |    4401  8160770 206472832 |   468424   316611     40 |        0 |    465070   7555789 |
|  69441008 |    4401 12520886 285823811 |   576435   370843     45 |        1 |    662674  11915904 |
