============================[ Problem Statistics ]=============================
|                                                                             |
|  Number of variables:          6160                                         |
|  Number of clauses:          691170                                         |
|  Parse time:                   4.52 s                                       |
|  Simplification time:          0.08 s                                       |
|                                                                             |
============================[ Search Statistics ]====================================================
| Conflicts |          ORIGINAL         |          LEARNT          | Num Sols |      SUBGRAPHS      |
|           |    Vars  Clauses Literals |    Limit  Clauses Lit/Cl |          | Canonical Noncanon. |
=====================================================================================================
|       100 |    4404   691170 69037717 |     2000      100    157 |        0 |        13         0 |
|       250 |    4404   691170 69037717 |     2000      250    130 |        0 |        20         0 |
|       521 |    4404   691216 69038740 |     2000      521    114 |        0 |        37        46 |
|      1146 |    4404   691504 69045037 |     2000     1146     62 |        0 |       234       334 |
|      2423 |    4404   692275 69063446 |     3602     1425     38 |        0 |       460      1105 |
|      3208 |    4404   692301 69064090 |     3602     2210     63 |        0 |       476      1131 |
|      4434 |    4404   692388 69066638 |     3602     3436     74 |        0 |       548      1218 |
|      6398 |    4404   692644 69072053 |     5001     3599     54 |        0 |       646      1474 |
|      9188 |    4404   692872 69078963 |     6302     3890     52 |        0 |       738      1702 |
|     13533 |    4404   693373 69090409 |     7552     5085     49 |        0 |       854      2203 |
|     20404 |    4404   694478 69118353 |     8781     8185     71 |        0 |      1115      3308 |
|     29811 |    4404   695236 69135290 |    11198     8209     67 |        0 |      1324      4066 |
|     43022 |    4404   695473 69141164 |    13606     9628     57 |        0 |      1459      4303 |
|     63673 |    4404   696663 69170523 |    17209     8082     22 |        0 |      1968      5493 |
|     94604 |    4404   698402 69210902 |    20810    11414     44 |        0 |      2650      7232 |
|    139930 |    4404   699939 69244005 |    24415    23745     90 |        0 |      3135      8769 |
|    206498 |    4404   700823 69264606 |    30417    23315     73 |        0 |      3570      9653 |
|    305845 |    4404   701644 69283568 |    37624    22469     55 |        0 |      3926     10474 |
|    454663 |    4404   702673 69315358 |    46013    27076     63 |        0 |      4909     11503 |
|    677116 |    4404   703443 69343643 |    55620    48736     89 |        0 |      5594     12273 |
|   1011521 |    4404   705323 69387449 |    68805    44326     68 |        0 |      6439     14153 |
|   1512863 |    4404   707877 69444720 |    84416    51679     62 |        0 |      7444     16707 |
|   2265620 |    4404   712452 69549028 |   103619    57239     48 |        0 |      9263     21282 |
|   3391646 |    4404   716204 69662062 |   126418    96464     71 |        0 |     11517     25034 |
|   5081828 |    4404   722975 69870850 |   155228   104256     66 |        0 |     14707     31805 |
|   7621581 |    4404   737612 70303690 |   190029   150010     74 |        0 |     24104     46442 |
|  11434359 |    4404   762715 70950025 |   233226   164785     63 |        0 |     33048     71545 |
|  17188232 |    4404   835076 72860159 |   286030   220662     78 |        0 |     43070    143906 |
|  25761665 |    4404   886240 74241340 |   350823   213488     54 |        7 |     61846    195063 |
|  38626438 |    4404   967610 76334960 |   430029   214867     32 |        8 |     89194    276432 |
|  57890400 |    4404  1056467 78662032 |   526021   382821     58 |       17 |    113301    365280 |
|  86870892 |    4404  1274301 83967061 |   644837   415729     52 |       31 |    165672    583100 |
