============================[ Problem Statistics ]=============================
|                                                                             |
|  Number of variables:          6160                                         |
|  Number of clauses:          483827                                         |
|  Parse time:                   2.98 s                                       |
|  Simplification time:          0.06 s                                       |
|                                                                             |
============================[ Search Statistics ]====================================================
| Conflicts |          ORIGINAL         |          LEARNT          | Num Sols |      SUBGRAPHS      |
|           |    Vars  Clauses Literals |    Limit  Clauses Lit/Cl |          | Canonical Noncanon. |
=====================================================================================================
|       100 |    4383   483827 47693279 |     2000      100     86 |        0 |        15         0 |
|       250 |    4383   483827 47693279 |     2000      250    107 |        0 |        22         0 |
|       511 |    4383   483863 47694210 |     2000      511    109 |        0 |        35        36 |
|       856 |    4383   483871 47694367 |     2000      856     97 |        0 |        58        44 |
|      1384 |    4383   483893 47694953 |     2000     1384     98 |        0 |        93        66 |
|      2292 |    4383   484042 47697729 |     3601     1293     46 |        0 |       136       215 |
|      3459 |    4383   484070 47698621 |     3601     2460     77 |        0 |       178       243 |
|      5182 |    4383   484085 47699153 |     5004     2386     50 |        0 |       239       258 |
|      7758 |    4383   484099 47699753 |     5004     4962     83 |        0 |       289       272 |
|     11674 |    4383   484171 47701719 |     7558     3232     26 |        0 |       414       344 |
|     17577 |    4383   484308 47705743 |     8784     5361     59 |        0 |       516       481 |
|     26479 |    4383   484561 47711479 |     9995     9874     90 |        0 |       703       734 |
|     39575 |    4383   484683 47715141 |    12402    12377     93 |        0 |       825       856 |
|     59361 |    4383   485008 47723845 |    16007    11768     79 |        0 |      1020      1181 |
|     90334 |    4383   486789 47765684 |    19607    16941     86 |        0 |      1690      2962 |
|    135111 |    4383   487777 47788459 |    24408    18919     61 |        0 |      2259      3950 |
|    203756 |    4383   490738 47847602 |    30418    20574     59 |        0 |      3029      6911 |
|    303044 |    4383   491500 47867198 |    37613    19657     46 |        0 |      3310      7673 |
|    451587 |    4383   492254 47891055 |    46014    24001     57 |        0 |      3637      8427 |
|    674105 |    4383   493089 47916231 |    55615    45720     89 |        0 |      4037      9262 |
|   1008917 |    4383   495376 47981882 |    68807    41724     73 |        0 |      4678     11549 |
|   1514185 |    4383   501856 48145776 |    84410    52995     72 |        0 |      6336     18029 |
|   2271573 |    4383   511062 48419578 |   103611    63184     70 |        0 |     12522     27235 |
|   3447851 |    4383   565066 49697512 |   127621    89472     58 |        2 |     25377     81237 |
|   5173826 |    4383   607630 50747578 |   156422   118648     75 |        2 |     34401    123801 |
|   7723531 |    4383   632219 51413050 |   191222   156953     76 |        2 |     44745    148390 |
|  11537469 |    4383   658482 52152908 |   234423   151292     58 |        2 |     52970    174653 |
|  17244988 |    4383   684489 52947358 |   286026   277414     82 |        2 |     65716    200660 |
|  25864744 |    4383   781976 55241291 |   350815   316559     76 |        2 |     80530    298147 |
|  39177988 |    4383  1311817 68753702 |   432436   335824     63 |        7 |    160933    827983 |
