41.cubes0.adj, verified, 0 solutions, 7.41906  seconds 
41.cubes1.adj, verified, 0 solutions, 20.0084  seconds 
41.cubes10.adj, verified, 0 solutions, 22.2244  seconds 
41.cubes100.adj, verified, 0 solutions, 25.5111  seconds 
41.cubes1000.adj, verified, 0 solutions, 401.355  seconds 
41.cubes1001.adj, verified, 0 solutions, 37.72  seconds 
41.cubes1002.adj, verified, 0 solutions, 295.764  seconds 
41.cubes1003.adj, verified, 0 solutions, 532.259  seconds 
41.cubes1004.adj, verified, 0 solutions, 5.06854  seconds 
41.cubes1005.adj, verified, 0 solutions, 671.625  seconds 
41.cubes1006.adj, verified, 0 solutions, 3.628  seconds 
41.cubes1007.adj, verified, 0 solutions, 532.81  seconds 
41.cubes1008.adj, verified, 0 solutions, 530.987  seconds 
41.cubes1009.adj, verified, 0 solutions, 1000.87  seconds 
41.cubes101.adj, verified, 0 solutions, 62.339  seconds 
41.cubes1010.adj, verified, 0 solutions, 1400.88  seconds 
41.cubes1011.adj, verified, 0 solutions, 324.57  seconds 
41.cubes1012.adj, verified, 0 solutions, 79.2286  seconds 
41.cubes1013.adj, verified, 0 solutions, 113.929  seconds 
41.cubes1014.adj, verified, 0 solutions, 406.309  seconds 
41.cubes1015.adj, verified, 0 solutions, 170.665  seconds 
41.cubes1016.adj, verified, 0 solutions, 290.555  seconds 
41.cubes1017.adj, verified, 0 solutions, 545.997  seconds 
41.cubes1018.adj, verified, 0 solutions, 141.078  seconds 
41.cubes1019.adj, verified, 0 solutions, 858.231  seconds 
41.cubes102.adj, verified, 0 solutions, 37.5874  seconds 
41.cubes1020.adj, verified, 0 solutions, 84.9048  seconds 
41.cubes1021.adj, verified, 0 solutions, 407.039  seconds 
41.cubes1022.adj, verified, 0 solutions, 251.715  seconds 
41.cubes1023.adj, verified, 0 solutions, 652.828  seconds 
41.cubes1024.adj, verified, 0 solutions, 603.624  seconds 
41.cubes1025.adj, verified, 0 solutions, 332.881  seconds 
41.cubes1026.adj, verified, 0 solutions, 262.3  seconds 
41.cubes1027.adj, verified, 0 solutions, 299.932  seconds 
41.cubes1028.adj, verified, 0 solutions, 283.681  seconds 
41.cubes1029.adj, verified, 0 solutions, 735.393  seconds 
41.cubes103.adj, verified, 0 solutions, 35.0143  seconds 
41.cubes1030.adj, verified, 0 solutions, 341.195  seconds 
41.cubes1031.adj, verified, 0 solutions, 276.446  seconds 
41.cubes1032.adj, verified, 0 solutions, 465.363  seconds 
41.cubes1033.adj, verified, 0 solutions, 253.895  seconds 
41.cubes1034.adj, verified, 0 solutions, 667.635  seconds 
41.cubes1035.adj, verified, 0 solutions, 248.394  seconds 
41.cubes1036.adj, verified, 0 solutions, 348.531  seconds 
41.cubes1037.adj, verified, 0 solutions, 388.489  seconds 
41.cubes1038.adj, verified, 0 solutions, 197.367  seconds 
41.cubes1039.adj, verified, 0 solutions, 106.126  seconds 
41.cubes104.adj, verified, 0 solutions, 47.9534  seconds 
41.cubes1040.adj, verified, 0 solutions, 278.485  seconds 
41.cubes1041.adj, verified, 0 solutions, 651.937  seconds 
41.cubes1042.adj, verified, 0 solutions, 490.429  seconds 
41.cubes1043.adj, verified, 0 solutions, 214.231  seconds 
41.cubes1044.adj, verified, 0 solutions, 600.244  seconds 
41.cubes1045.adj, verified, 0 solutions, 701.235  seconds 
41.cubes1046.adj, verified, 0 solutions, 389.081  seconds 
41.cubes1047.adj, verified, 0 solutions, 550.888  seconds 
41.cubes1048.adj, verified, 0 solutions, 3.24322  seconds 
41.cubes1049.adj, verified, 0 solutions, 1211.69  seconds 
41.cubes105.adj, verified, 0 solutions, 25.5291  seconds 
41.cubes1050.adj, verified, 0 solutions, 1323.87  seconds 
41.cubes1051.adj, verified, 0 solutions, 81.2126  seconds 
41.cubes1052.adj, verified, 0 solutions, 65.8542  seconds 
41.cubes1053.adj, verified, 0 solutions, 363.956  seconds 
41.cubes1054.adj, verified, 0 solutions, 154.418  seconds 
41.cubes1055.adj, verified, 0 solutions, 40.26  seconds 
41.cubes1056.adj, verified, 0 solutions, 241.943  seconds 
41.cubes1057.adj, verified, 0 solutions, 91.1757  seconds 
41.cubes1058.adj, verified, 0 solutions, 340.691  seconds 
41.cubes1059.adj, verified, 0 solutions, 40.3542  seconds 
41.cubes106.adj, verified, 0 solutions, 80.0901  seconds 
41.cubes1060.adj, verified, 0 solutions, 135.683  seconds 
41.cubes1061.adj, verified, 0 solutions, 30.5217  seconds 
41.cubes1062.adj, verified, 0 solutions, 181.486  seconds 
41.cubes1063.adj, verified, 0 solutions, 322.825  seconds 
41.cubes1064.adj, verified, 0 solutions, 217.605  seconds 
41.cubes1065.adj, verified, 0 solutions, 138.696  seconds 
41.cubes1066.adj, verified, 0 solutions, 154.046  seconds 
41.cubes1067.adj, verified, 0 solutions, 288.08  seconds 
41.cubes1068.adj, verified, 0 solutions, 265.224  seconds 
41.cubes1069.adj, verified, 0 solutions, 370.278  seconds 
41.cubes107.adj, verified, 0 solutions, 12.4086  seconds 
41.cubes1070.adj, verified, 0 solutions, 660.325  seconds 
41.cubes1071.adj, verified, 0 solutions, 126.144  seconds 
41.cubes1072.adj, verified, 0 solutions, 33.26  seconds 
41.cubes1073.adj, verified, 0 solutions, 201.525  seconds 
41.cubes1074.adj, verified, 0 solutions, 264.459  seconds 
41.cubes1075.adj, verified, 0 solutions, 179.16  seconds 
41.cubes1076.adj, verified, 0 solutions, 487.336  seconds 
41.cubes1077.adj, verified, 0 solutions, 354.391  seconds 
41.cubes1078.adj, verified, 0 solutions, 458.142  seconds 
41.cubes1079.adj, verified, 0 solutions, 30.7571  seconds 
41.cubes108.adj, verified, 0 solutions, 43.7858  seconds 
41.cubes1080.adj, verified, 0 solutions, 407.845  seconds 
41.cubes1081.adj, verified, 0 solutions, 193.056  seconds 
41.cubes1082.adj, verified, 0 solutions, 236.72  seconds 
41.cubes1083.adj, verified, 0 solutions, 299.929  seconds 
41.cubes1084.adj, verified, 0 solutions, 307.737  seconds 
41.cubes1085.adj, verified, 0 solutions, 578.453  seconds 
41.cubes1086.adj, verified, 0 solutions, 486.227  seconds 
41.cubes1087.adj, verified, 0 solutions, 8.13246  seconds 
41.cubes1088.adj, verified, 0 solutions, 645.022  seconds 
41.cubes1089.adj, verified, 0 solutions, 243.293  seconds 
41.cubes109.adj, verified, 0 solutions, 57.632  seconds 
41.cubes1090.adj, verified, 0 solutions, 283.432  seconds 
41.cubes1091.adj, verified, 0 solutions, 467.069  seconds 
41.cubes1092.adj, verified, 0 solutions, 718.601  seconds 
41.cubes1093.adj, verified, 0 solutions, 416.345  seconds 
41.cubes1094.adj, verified, 0 solutions, 2.56593  seconds 
41.cubes1095.adj, verified, 0 solutions, 889.781  seconds 
41.cubes1096.adj, verified, 0 solutions, 455.03  seconds 
