============================[ Problem Statistics ]=============================
|                                                                             |
|  Number of variables:          6160                                         |
|  Number of clauses:          585150                                         |
|  Parse time:                   3.96 s                                       |
|  Simplification time:          0.07 s                                       |
|                                                                             |
============================[ Search Statistics ]====================================================
| Conflicts |          ORIGINAL         |          LEARNT          | Num Sols |      SUBGRAPHS      |
|           |    Vars  Clauses Literals |    Limit  Clauses Lit/Cl |          | Canonical Noncanon. |
=====================================================================================================
|       102 |    4291   585152 62218467 |     2000      102    100 |        0 |        15         2 |
|       253 |    4291   585153 62218482 |     2000      253     86 |        0 |        26         3 |
|       485 |    4291   585160 62218589 |     2000      485     86 |        0 |        34        10 |
|       827 |    4291   585165 62218669 |     2000      827     86 |        0 |        63        15 |
|      1335 |    4291   585167 62218702 |     2000     1335     88 |        0 |        78        17 |
|      2109 |    4291   585182 62219113 |     3603     1112     43 |        0 |       101        32 |
|      3870 |    4291   585804 62238324 |     3603     2873     63 |        0 |       273       654 |
|      5718 |    4291   585944 62241035 |     5005     2923     56 |        0 |       302       794 |
|      8498 |    4291   586162 62245169 |     6302     3200     44 |        0 |       343      1012 |
|     12593 |    4291   586413 62251634 |     7551     4144     38 |        0 |       446      1263 |
|     18587 |    4291   586641 62257838 |     8779     6366     55 |        0 |       627      1491 |
|     27360 |    4291   586765 62261634 |    11201     5761     31 |        0 |       777      1615 |
|     40590 |    4291   587021 62266166 |    13611     7201     38 |        0 |       923      1871 |
|     60659 |    4291   587629 62277590 |    16008    13067     69 |        0 |      1154      2479 |
|     90550 |    4291   588328 62293415 |    19613    17163     75 |        0 |      1522      3178 |
|    134599 |    4291   588588 62301106 |    24411    18410     57 |        0 |      1729      3438 |
|    200960 |    4291   589265 62313922 |    30414    17774     44 |        0 |      1947      4115 |
|    300151 |    4291   589930 62330060 |    36413    34964     76 |        0 |      2234      4780 |
|    449015 |    4291   591005 62353787 |    44811    43826     83 |        0 |      2761      5855 |
|    673375 |    4291   593682 62415317 |    55621    44996     65 |        0 |      3777      8532 |
|   1009223 |    4291   597005 62495552 |    68814    42037     53 |        0 |      5267     11855 |
|   1511467 |    4291   600461 62584240 |    84415    50282     53 |        0 |      6895     15311 |
|   2263158 |    4291   603970 62688745 |   103622    54780     45 |        0 |      8134     18820 |
|   3389489 |    4291   608027 62814109 |   126425    94314     67 |        0 |      9607     22877 |
|   5082435 |    4291   617562 63088529 |   155223   104858     61 |        0 |     12587     32412 |
|   7622450 |    4291   632461 63457339 |   190017   150867     62 |        0 |     18745     47311 |
|  11453881 |    4291   676217 64587195 |   233239   184320     71 |        0 |     33955     91067 |
|  17151410 |    4291   692234 65128392 |   286028   183838     53 |       12 |     38522    107072 |
|  25721513 |    4291   740068 66466313 |   349623   348136     77 |       13 |     51795    154905 |
|  38612326 |    4291   847478 68961682 |   428823   415149     75 |       23 |     79118    262305 |
|  57814104 |    4291   874151 69730318 |   526030   306534     41 |       40 |    102482    288961 |
|  86613210 |    4291   910599 70777563 |   643621   479831     57 |       50 |    123508    325399 |
| 129873824 |    4268   787796 67459814 |   788822   446646     45 |       70 |    165819    442005 |
| 194838370 |    4243   926207 70951339 |   966436   513206     35 |      111 |    234752    690528 |
